"Date","Video Views","Profile Views","Likes","Comments","Shares","Unique Viewers"
"2023-11-24","3387","13","493","25","44","2985"
"2023-11-25","3529","16","525","20","56","3044"
"2023-11-26","2323","12","348","18","32","1971"
"2023-11-27","2246","6","334","18","37","1913"
"2023-11-28","2039","9","257","21","34","1749"
"2023-11-29","2255","10","262","16","42","1941"
"2023-11-30","1160","6","133","5","12","1009"
"2023-12-01","2051","6","222","12","25","1782"
"2023-12-02","1583","16","193","12","6","1396"
"2023-12-03","1376","7","139","10","15","1142"
"2023-12-04","2089","11","286","37","47","1799"
"2023-12-05","1490","3","213","22","22","1276"
"2023-12-06","1689","7","215","20","47","1488"
"2023-12-07","1617","7","243","25","31","1411"
"2023-12-08","2023","11","296","38","69","1756"
"2023-12-09","1592","5","217","14","23","1391"
"2023-12-10","1530","8","176","16","13","1339"
"2023-12-11","5233","23","422","33","65","4650"
"2023-12-12","2483","12","267","27","23","2213"
"2023-12-13","1864","13","229","18","26","1580"
"2023-12-14","956","5","91","6","10","750"
"2023-12-15","629","0","69","6","8","525"
"2023-12-16","492","2","43","1","5","405"
"2023-12-17","683","5","59","8","6","585"
"2023-12-18","889","3","106","12","10","787"
"2023-12-19","899","6","91","11","11","772"
"2023-12-20","540","3","49","4","2","482"
"2023-12-21","557","3","56","4","1","473"
"2023-12-22","562","5","70","11","6","486"
"2023-12-23","1070","4","67","6","4","908"
"2023-12-24","613","5","75","4","9","520"
"2023-12-25","381","2","35","1","10","326"
"2023-12-26","444","0","43","4","3","383"
"2023-12-27","518","3","65","7","3","424"
"2023-12-28","625","4","84","15","7","476"
"2023-12-29","413","1","36","6","7","331"
"2023-12-30","384","1","23","2","1","314"
"2023-12-31","456","2","36","1","2","393"
"2024-01-01","486","1","54","4","10","419"
"2024-01-02","643","1","77","10","4","556"
"2024-01-03","670","4","94","5","18","567"
"2024-01-04","638","3","79","4","10","555"
"2024-01-05","524","2","60","3","7","464"
"2024-01-06","493","1","58","8","3","416"
"2024-01-07","1016","7","118","8","12","873"
"2024-01-08","695","3","74","6","11","575"
"2024-01-09","665","7","90","8","16","550"
"2024-01-10","512","4","55","4","8","415"
"2024-01-11","230","1","13","0","9","197"
"2024-01-12","204","0","10","0","0","175"
"2024-01-13","230","1","12","0","2","171"
"2024-01-14","438","0","9","1","0","392"
"2024-01-15","205","1","12","1","0","177"
"2024-01-16","246","1","18","1","3","215"
"2024-01-17","291","2","28","0","14","256"
"2024-01-18","200","0","12","1","4","167"
"2024-01-19","217","2","9","0","3","186"
"2024-01-20","168","2","6","0","0","151"
"2024-01-21","186","2","9","0","7","157"
"2024-01-22","180","1","4","1","0","154"